timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/07/19 20:11:41.107, 61.07 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.110, 61.07 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.111, 61.07 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.112, 61.17 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.119, 61.17 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.120, 61.17 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.122, 61.17 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.123, 61.17 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.124, 61.17 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.126, 61.17 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.128, 61.17 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.129, 61.17 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.131, 61.17 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.132, 61.17 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.139, 61.17 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.141, 61.17 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.142, 61.17 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.144, 61.17 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.146, 61.17 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.149, 61.17 W, 0 %, 0 %, 12196 MiB, 12194 MiB, 2 MiB
2023/07/19 20:11:41.151, 61.17 W, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/07/19 20:11:41.152, 61.17 W, 0 %, 0 %, 12196 MiB, 12184 MiB, 12 MiB
2023/07/19 20:11:41.161, 61.17 W, 0 %, 0 %, 12196 MiB, 12184 MiB, 12 MiB
2023/07/19 20:11:41.169, 61.17 W, 0 %, 0 %, 12196 MiB, 12184 MiB, 12 MiB
2023/07/19 20:11:41.170, 61.17 W, 0 %, 0 %, 12196 MiB, 12184 MiB, 12 MiB
2023/07/19 20:11:41.172, 61.30 W, 0 %, 0 %, 12196 MiB, 12184 MiB, 12 MiB
2023/07/19 20:11:41.179, 61.30 W, 0 %, 0 %, 12196 MiB, 12184 MiB, 12 MiB
2023/07/19 20:11:41.181, 61.30 W, 0 %, 0 %, 12196 MiB, 12184 MiB, 12 MiB
2023/07/19 20:11:41.182, 61.30 W, 0 %, 0 %, 12196 MiB, 12184 MiB, 12 MiB
2023/07/19 20:11:41.187, 61.30 W, 0 %, 0 %, 12196 MiB, 12182 MiB, 14 MiB
2023/07/19 20:11:41.188, 61.30 W, 0 %, 0 %, 12196 MiB, 12181 MiB, 15 MiB
2023/07/19 20:11:41.190, 61.30 W, 0 %, 0 %, 12196 MiB, 12177 MiB, 19 MiB
2023/07/19 20:11:41.191, 61.30 W, 0 %, 0 %, 12196 MiB, 12177 MiB, 19 MiB
2023/07/19 20:11:41.193, 61.30 W, 0 %, 0 %, 12196 MiB, 12177 MiB, 19 MiB
2023/07/19 20:11:41.199, 61.30 W, 0 %, 0 %, 12196 MiB, 12159 MiB, 37 MiB
2023/07/19 20:11:41.201, 61.30 W, 0 %, 0 %, 12196 MiB, 12159 MiB, 37 MiB
2023/07/19 20:11:41.202, 61.30 W, 0 %, 0 %, 12196 MiB, 12159 MiB, 37 MiB
2023/07/19 20:11:41.204, 61.30 W, 0 %, 0 %, 12196 MiB, 12057 MiB, 139 MiB
2023/07/19 20:11:41.205, 61.30 W, 0 %, 0 %, 12196 MiB, 12057 MiB, 139 MiB
2023/07/19 20:11:41.210, 61.30 W, 0 %, 0 %, 12196 MiB, 12055 MiB, 141 MiB
2023/07/19 20:11:41.211, 61.30 W, 0 %, 0 %, 12196 MiB, 12053 MiB, 143 MiB
2023/07/19 20:11:41.213, 61.49 W, 0 %, 0 %, 12196 MiB, 12051 MiB, 145 MiB
2023/07/19 20:11:41.219, 61.49 W, 0 %, 0 %, 12196 MiB, 12049 MiB, 147 MiB
2023/07/19 20:11:41.221, 61.49 W, 0 %, 0 %, 12196 MiB, 12049 MiB, 147 MiB
2023/07/19 20:11:41.222, 61.49 W, 0 %, 0 %, 12196 MiB, 12071 MiB, 125 MiB
2023/07/19 20:11:41.224, 61.49 W, 0 %, 0 %, 12196 MiB, 12073 MiB, 123 MiB
2023/07/19 20:11:41.228, 61.49 W, 0 %, 0 %, 12196 MiB, 12073 MiB, 123 MiB
2023/07/19 20:11:41.230, 61.49 W, 0 %, 0 %, 12196 MiB, 12077 MiB, 119 MiB
2023/07/19 20:11:41.231, 61.49 W, 0 %, 0 %, 12196 MiB, 12077 MiB, 119 MiB
2023/07/19 20:11:41.233, 60.98 W, 5 %, 0 %, 12196 MiB, 12077 MiB, 119 MiB
2023/07/19 20:11:41.240, 60.98 W, 5 %, 0 %, 12196 MiB, 12077 MiB, 119 MiB
2023/07/19 20:11:41.241, 60.98 W, 5 %, 0 %, 12196 MiB, 12077 MiB, 119 MiB
2023/07/19 20:11:41.245, 60.98 W, 5 %, 0 %, 12196 MiB, 12077 MiB, 119 MiB
2023/07/19 20:11:41.247, 60.98 W, 5 %, 0 %, 12196 MiB, 12177 MiB, 19 MiB
2023/07/19 20:11:41.249, 60.98 W, 5 %, 0 %, 12196 MiB, 12177 MiB, 19 MiB
2023/07/19 20:11:41.250, 60.98 W, 5 %, 0 %, 12196 MiB, 12180 MiB, 16 MiB
2023/07/19 20:11:41.252, 60.98 W, 5 %, 0 %, 12196 MiB, 12190 MiB, 6 MiB
2023/07/19 20:11:41.253, 61.66 W, 5 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/07/19 20:11:41.260, 61.66 W, 5 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/07/19 20:11:41.262, 61.66 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.264, 61.66 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.265, 61.66 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.267, 61.66 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.268, 61.66 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.270, 61.66 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.271, 61.66 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.273, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.280, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.281, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.283, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.284, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.286, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.287, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.289, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.290, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.292, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.293, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.300, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.301, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.303, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.304, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.306, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.307, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.309, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.310, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.312, 61.20 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.313, 61.30 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.320, 61.30 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.322, 61.30 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.323, 61.30 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.325, 61.30 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.327, 61.30 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.329, 61.30 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.331, 61.30 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.332, 61.30 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.334, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.340, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.342, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.344, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.346, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.347, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.349, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.351, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.353, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.354, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.360, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.362, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.364, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.365, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.367, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.369, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.371, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.373, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.374, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.380, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.382, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.384, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.386, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.387, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.389, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.391, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.393, 61.40 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.395, 61.30 W, 5 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.400, 61.30 W, 2 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/07/19 20:11:41.402, 61.30 W, 2 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
