timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/09/14 20:38:03.186, 19.11 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.202, 19.11 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.208, 19.50 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.214, 19.50 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.220, 19.50 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.226, 19.31 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.234, 19.31 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.241, 19.31 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.246, 19.21 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.254, 19.21 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.259, 19.21 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.265, 19.21 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.272, 18.92 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.279, 18.92 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.285, 18.92 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.290, 18.92 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.299, 18.92 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.305, 18.92 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.311, 16.86 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/14 20:38:03.328, 16.86 W, 0 %, 0 %, 12196 MiB, 12194 MiB, 2 MiB
2023/09/14 20:38:03.335, 18.52 W, 0 %, 0 %, 12196 MiB, 12194 MiB, 2 MiB
2023/09/14 20:38:03.344, 18.52 W, 0 %, 0 %, 12196 MiB, 12194 MiB, 2 MiB
2023/09/14 20:38:03.350, 18.52 W, 0 %, 0 %, 12196 MiB, 12194 MiB, 2 MiB
2023/09/14 20:38:03.356, 18.72 W, 0 %, 0 %, 12196 MiB, 12194 MiB, 2 MiB
2023/09/14 20:38:03.365, 18.72 W, 0 %, 0 %, 12196 MiB, 12194 MiB, 2 MiB
2023/09/14 20:38:03.370, 18.72 W, 0 %, 0 %, 12196 MiB, 12194 MiB, 2 MiB
