timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2023/09/17 02:14:59.108, 86.99 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/17 02:14:59.110, 86.99 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/17 02:14:59.111, 86.99 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/17 02:14:59.113, 86.99 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/17 02:14:59.114, 86.99 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/17 02:14:59.116, 86.99 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/17 02:14:59.117, 86.99 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/17 02:14:59.119, 86.99 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/17 02:14:59.120, 86.99 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/17 02:14:59.122, 86.99 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/17 02:14:59.123, 86.89 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/17 02:14:59.130, 86.89 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/17 02:14:59.131, 86.89 W, 0 %, 0 %, 12196 MiB, 12195 MiB, 1 MiB
2023/09/17 02:14:59.135, 86.89 W, 0 %, 0 %, 12196 MiB, 12194 MiB, 2 MiB
2023/09/17 02:14:59.136, 86.89 W, 0 %, 0 %, 12196 MiB, 12194 MiB, 2 MiB
2023/09/17 02:14:59.138, 86.89 W, 0 %, 0 %, 12196 MiB, 12192 MiB, 4 MiB
2023/09/17 02:14:59.139, 86.89 W, 0 %, 0 %, 12196 MiB, 12184 MiB, 12 MiB
